Place Name,Things to See,Activities to Do,Things to Eat,Cost per day,Distance
Acadia National Park ME,Cadillac Mountain; Thunder Hole; Jordan Pond; Bass Harbor Head Light; Sand Beach,hiking Cadillac Mountain; driving Park Loop Road; whale watching; kayaking on the coast; stargazing in the park,lobster rolls; blueberry pie; popovers at Jordan Pond House; clam chowder; fiddlehead ferns,210,Far
Arches National Park UT,Delicate Arch; Balanced Rock; Landscape Arch; Double Arch; Devils Garden,hiking to Delicate Arch; scenic driving through park; stargazing; rock climbing; photographing arches,Utah scones (frybread); Navajo taco; bison burger; green chile stew; local craft beer,210,Far
Asheville NC,Biltmore Estate; Blue Ridge Parkway; Chimney Rock; Downtown Art District; NC Arboretum,hiking in Blue Ridge; touring Biltmore Winery; live music at breweries; driving the Parkway; gallery hopping,farm-to-table dishes; Carolina BBQ; fried green tomatoes; mountain trout; craft beer,159,Far
Aspen CO,Maroon Bells; Aspen Mountain; Independence Pass; Ashcroft Ghost Town; Wheeler Opera House,skiing/snowboarding; hiking Maroon Bells; Aspen Music Festival; luxury boutique shopping; fly-fishing in rivers,bison steak; Colorado lamb; rainbow trout; elk chili; craft beer,355,Far
Atlanta GA,Georgia Aquarium; World of Coca-Cola; MLK Jr. National Historic Site; Centennial Olympic Park; Atlanta Botanical Garden,tour the CNN Center; visit the aquarium; walk the BeltLine; ride SkyView ferris wheel; see a show at Fox Theatre,peach cobbler; chicken & waffles; pecan pie; barbecue ribs; lemon pepper wings,204,Far
Austin TX,Texas State Capitol; Barton Springs Pool; Congress Ave Bridge (bats); Lady Bird Lake; Sixth Street,watch bats at dusk; live music on Sixth Street; kayak on Lady Bird Lake; tour the Capitol; hike in Zilker Park,BBQ brisket; breakfast tacos; Tex-Mex queso; kolaches; pecan pie,167,Far
Big Sur CA,Bixby Bridge; McWay Falls; Pfeiffer Beach; Point Lobos; 17-Mile Drive,driving Highway One; hiking in Julia Pfeiffer Burns SP; photographing McWay Falls; camping by the coast; whale watching from shore,artichoke dishes; seafood chowder; Big Sur Bakery pastries; California wine; olallieberry pie,240,Far
Boston MA,Freedom Trail sites; Faneuil Hall; Fenway Park; Boston Common; USS Constitution,walk the Freedom Trail; catch a game at Fenway; whale watching cruise; tour Harvard campus; visit museums,clam chowder; lobster roll; Boston baked beans; cannoli; Boston cream pie,291,Far
Bryce Canyon National Park UT,Bryce Amphitheater; Hoodoos at Sunrise Point; Thor's Hammer; Navajo Loop Trail; Bryce Point,hiking among hoodoos; horseback riding; stargazing; scenic drive to Rainbow Point; ranger geology talks,Utah trout; frybread; Dutch oven cobbler; s'mores by campfire; ranch-style beans,159,Far
Charleston SC,City Market; Rainbow Row; Fort Sumter; The Battery; Magnolia Plantation,horse-drawn carriage tour; harbor boat tour; visit plantations; ghost walk in old city; beach day at Sullivan's Island,shrimp and grits; she-crab soup; fried green tomatoes; Lowcountry boil; benne wafers,212,Far
